"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"24",1039,4,4,4,4,5,3,4,2,160,70,3649,10,4,4,5,2,3,3,2,2,2,1,2,4,3,3,0,4,2.33333333333333,1.66666666666667,4,3.5,3.33333333333333,1,0,0,0
"25",1034,4,4,4,5,2,4,4,1,188,94,200,6,4,2,3,2,2,2,2,2,2,2,2,3,3,4,0,2.75,2,2,4.25,2.75,3.33333333333333,1,0,0,0
"26",1026,3,4,3,4,4,2,3,5,178,90,200,6,5,5,5,3,4,1,1,1,1,1,1,4,3,4,0,4.75,1,1,3.5,3.5,3.66666666666667,1,0,0,0
"27",1041,4,4,4,5,4,4,4,2,165,60,446,6,4,4,4,3,3,2,2,1,2,2,1,3,3,2,0,3.75,1.66666666666667,1.66666666666667,4.25,3.5,2.66666666666667,1,0,0,0
"28",1029,4,4,2,4,4,4,4,1,187,110,2483,6,5,5,5,2,3,2,2,2,2,2,1,3,3,3,0,4.5,2,1.66666666666667,3.5,3.25,3,1,0,0,0
"29",1037,3,4,4,4,4,4,3,2,168,80,3992,10,4,3,3,1,3,2,2,2,2,2,2,4,2,3,0,3.25,2,2,3.75,3.25,3,1,0,0,0
"30",1035,4,3,3,4,4,2,3,4,152,100,3489,10,5,4,5,2,4,1,1,1,1,1,1,4,4,5,0,4.5,1,1,3.5,3.25,4.33333333333333,1,0,0,0
"31",1031,4,4,4,4,4,4,4,3,160,74,2871,6,4,4,4,3,4,2,2,2,2,2,2,4,4,4,0,4,2,2,4,3.75,4,1,0,0,0
"32",1027,3,3,3,4,4,2,4,2,180,129,6345,10,4,3,4,2,3,4,4,3,2,2,2,3,3,2,0,3.5,3.66666666666667,2,3.25,3,2.66666666666667,1,0,0,0
"33",1046,4,4,4,5,5,5,4,1,182,75,5989,10,5,4,4,2,5,1,1,1,1,1,5,4,4,4,0,4.5,1,2.33333333333333,4.25,3.75,4,1,0,0,0
"34",1048,3,2,2,2,4,3,5,2,153,52,446,6,2,2,3,1,3,2,3,2,2,2,2,4,2,3,0,2.5,2.33333333333333,2,2.25,3.5,3,1,0,0,0
"35",1049,4,4,4,4,3,4,3,3,172,82,200,6,4,3,4,3,4,4,3,1,2,1,3,4,4,3,0,3.75,2.66666666666667,2,4,3.25,3.66666666666667,1,0,0,0
"36",1052,4,4,4,4,4,4,4,3,5,70,1005,4,4,4,4,3,4,2,1,5,2,2,2,4,4,4,0,4,2.66666666666667,2,4,3.75,4,1,0,0,0
"37",1047,5,4,5,4,5,4,4,4,193,84,5227,10,5,5,4,3,4,1,1,1,1,1,2,5,4,5,0,4.5,1,1.33333333333333,4.5,4.25,4.66666666666667,1,0,0,0
"38",1050,4,4,4,4,4,4,4,4,170,90,2955,5,4,4,4,3,4,2,2,2,2,2,4,4,4,4,0,4,2,2.66666666666667,4,4,4,1,0,0,0
"39",1053,3,3,1,2,3,3,4,3,181,74,2803,6,5,4,5,3,3,3,2,1,1,1,1,5,4,4,0,4.25,2,1,2.25,3.25,4.33333333333333,1,0,0,0
